recipename,instructions,cuisine,course_type,dietary_preference
Simple Plum Pudding Recipe,"[""Mix, sift all dry ingredients, add in citron, currants, raisins, suet, mixed with little flour."", ""Add in beaten Large eggs, flavoring; beat thoroughly."", ""Pour into well-greased mold, steam 2-3 hrs."", ""Serve with sauce.""]",english,dessert,omnivorous
Graham Cracker Banana Cream Dessert,"[""Combine cracker crumbs and butter. Press into an ungreased 13-in. x 9-in. dish. In a large bowl, beat milk and pudding mix on low speed for 2 minutes. Pour over crust; top with bananas and pineapple. Spread with whipped topping (dish will be full). Sprinkle with pecans if desired."", ""Chill for at least 4 hours before cutting. Garnish with candy bar pieces and cherries if desired.""]",american,dessert,omnivorous
Asian Steak Strips (Crock Pot),"[""Combine the first 6 ingredients and blend well."", ""Take your steak strips and coat them well with the spice mix."", ""Put meat in the slow cooker and add the pepper strips, broth and bay leaves."", ""Cover and cook on low for 6-8 hours then remove the bay leaves and throw away."", ""Dissolve the cornstarch in water and stir into crock pot."", ""Turn temp to high and cover/cook on High until thickened."", ""Serve over rice or noodles.""]",asian,main,omnivorous
Coconut Curry Slo Cookr ,"[""Heat a teaspoon of coconut oil in a casserole pot or a large saucepan."", """", ""Add the lamb and stir it around on high heat until slightly browned. Add the onion, chilli and celery and cook for about a minute, until slightly softened. Bring the heat down to medium."", """", ""Add garlic, garam masala, turmeric, fennel seeds and ghee (or extra coconut oil if avoiding dairy). Stir through the lamb and cook for a minute to let the spices release their aromas."", """", ""Add coconut milk, tomato paste, water and sea salt. Stir and bring to boil. Then turn the heat down to simmer and cook for 1 hour, covered with a lid. Stir a couple of times."", """", ""After one hour, add the diced carrot and cook for a further 40 minutes, covered with a lid. Stir a few times."", """", ""Sprinkle some fresh coriander or parsley and drizzle a little lemon or lime juice before serving. Serve with your favorite vegetables or cauliflower rice, or real white rice if your heart so desires.""]",indian,main,omnivorous
Apple Tarts,"[""First we have to make the tarts crust"", ""Add cold butter and salt in flour."", ""Mix it well."", ""I knead it with my hand but if u hav a dough machine, that'll do your kneading."", ""Add water spoon by spoon and knead it to make a perfect dough."", ""Set it aside."", ""Its time to caramelise the apples."", ""Put thinly sliced apples in a sauce pan over medium heat."", ""Add water, sugar and cinnamon powder."", ""Leave it for 15 minutes till sugary syrup thickens."", ""Roll the dough and cut out circles from the dough with the help of a round glass."", ""(will look like mini chapatis)"", ""Grease muffin pans and put the chapatis in there filling them with caramelised apples."", ""Preheat oven to 180F and bake it till the crust is done."", ""I prefer to bake it few minutes before putting the caramelised apples.""]",french,dessert,vegetarian
Fish Soup Provencale(Bouride),"[""Mix mayonnaise and crushed garlic; cover and refrigerate."", ""Heat 1/4 cup of the butter in 12-inch skillet until melted. Toast 6 of the bread slices in skillet over medium heat until brown on both sides; rub one side of bread with half clove garlic. Remove from skillet; keep warm. Repeat with remaining butter, bread and garlic."", ""Cut fish filets into 1-inch pieces. Place fish in single layer in skillet. Add wine, onion and lemon slices, parsley, bay leaf, salt and just enough water to cover. Heat to boiling; reduce heat. Simmer uncovered until fish flakes easily with fork, about 6 minutes. Remove fish with slotted spoon; keep warm."", ""Strain fish broth. Pour 1 1/2 cups of the broth into 2-quart saucepan; gradually beat in mayonnaise mixture. Cook over low heat, stirring constantly, until slightly thickened."", ""Place 2 slices of the French bread upright in each soup bowl; spoon fish between slices. Pour soup over fish; sprinkle with paprika.""]",french,main,omnivorous
Blueberry Popovers,"[""Preheat oven to 375 degrees."", ""Divide the butter into the 6 cups of your popover pan. (If you don't own one, you can use a muffin tin, but you will need to use all 12 cups. Just divide the butter up evenly.) Place the pan in the oven for 3-5 minutes while you are making the batter."", ""In medium bowl, beat the eggs with the milk, vanilla, and sugar, then whisk in the flour. Pour the batter into the butter-filled cups, then evenly add a few blueberries to each cup. Return to the oven for 5 minutes, then reduce the temperature to 350 degrees and continue to bake for another 25 minutes. Popovers will be tall and gorgeous just out of the oven, but be warned-they shrink very quickly. It doesn't affect the taste, but if you are wanting pictures, foodies, snap 'em quick!"", ""Serve with a sprinkling of powdered sugar and the best maple syrup you can get your hands on.""]",american,dessert,omnivorous
Classic Lasagna,"[""Preheat oven to 350 degrees F (175 degrees C)."", ""Bring a large pot of lightly salted water to a boil. Add the lasagna noodles and olive oil; cook until al dente, 8 to 10 minutes; drain."", ""Cook the ground beef and sausage in a large pot over medium heat; drain. Stir in the mushrooms, garlic salt, oregano, thyme, basil, and tomato sauce. Season with salt and pepper; simmer 30 minutes."", ""Meanwhile, mix together the ricotta cheese, eggs, and Parmesan cheese in a bowl."", ""Ladle enough of the meat sauce into a 9x13 inch baking dish to cover the bottom in a thin layer. Form a layer atop the sauce with 3 of the lasagna noodles. Spread about 1/4 of the ricotta cheese mixture over the noodles. Sprinkle about 1/3 of the mozzarella cheese over the ricotta cheese mixture and then ladle about 1/3 of the meat sauce over the mozzarella cheese. Repeat layering twice more, topping with the remaining 1/4 pound of mozzarella cheese."", ""Bake in preheated oven 90 minutes. Allow to sit 10 to 15 minutes before serving.""]",italian,main,omnivorous
Fudge Pie,"[""Melt butter."", ""Mix all and pour into uncooked pie shell."", ""Bake at 400\u00b0 for 10 minutes and at 350\u00b0 for 20 to 25 minutes.""]",american,dessert,omnivorous
Fresh Apple Cake,"[""Prepare apples."", ""Cover and set aside."", ""Measure oil and pour into large mixing bowl."", ""Add sugar and eggs; mix well."", ""Sift together dry ingredients and add to creamed mixture in small amounts, beating after each addition."", ""When batter becomes stiff, finish mixing by hand."", ""Fold in nuts and apples."", ""Spread evenly in greased and floured 9 x 13-inch pan or Bundt pan, if preferred. Bake about 1 hour at 350\u00b0."", ""Remove from oven and set aside.""]",american,dessert,vegetarian
Home Made Macaroni And Cheese,"[""In a large pot, cook the noodles according to the package directions, leaving them al dente. Drain the pasta and return it to the pot."", ""Stir in all the other ingredients. I usually put the pan back on the burner so all the cheese will melt, on occasion I even have to turn the burner back on to low to get everything melted. You can add a little more milk if the consistency seems too thick."", ""Pour the mixture into your greased baking dish and bake for 30 to 35 minutes or until the top is browned and bubbly.""]",american,main,vegetarian
Krispy Kraut Salad,"[""Mix kraut, celery, onion and green pepper."", ""Heat vinegar and sugar."", ""Add to kraut mixture and refrigerate overnight."", ""(Keeps a long time.)""]",german,main,vegan
Smoked Salmon And Capers In A Champagne Sauce For Pasta,"[""Heat the oil in a large frying pan and cook the garlic over a medium heat for 30 seconds."", ""Pour in the champagne and cook for 2-3 minutes, or until reduced slightly."", ""Add the cream and cook for 3-4 minutes, or until reduced and thickened."", ""Add the remaining ingredients and pour over the pasta of your choice."", ""Toss through gently and season to taste with salt and freshly ground black pepper.""]",french,main,omnivorous
Reese'S Peanut Butter Topping,"[""Heat peanut butter and Nutella in microwave, then mix together."", ""Cut up the Reese's into small pieces and then mush in with the Nutella and peanut butter."", ""Stir in peanuts.""]",american,dessert,vegetarian
Breakfast Sausage Spice Blend,"[""Stir all ingredients together thoroughly. Store in an airtight container."", ""To make sausage: mix the spice blend thoroughly with 1 lb of ground pork."", ""Makes about 1 tablespoon + 3/4 teaspoon, or enough for 1 lb of sausage.""]",american,main,omnivorous
Thai Coconut Tofu Vegetable Soup,"[""1. Soak the glass noodles in a bowl of warm water right before cooking."", ""2. Heat the canola oil in a saucepan over medium heat. Add sliced mushrooms and bok choy. Saute until soft, about 1 minute."", ""3. Add coconut milk, water, curry powder and salt. Cover the saucepan with the lid and bring the soup to a boil."", ""4. Add tofu and drained glass noodles. Boil for a minute or until the glass noodles are soft and cooked."", ""5. Optional: Mix cornstarch and water in a small bowl. Pour the mixture into the boiling soup and stir quickly to thicken the soup."", ""6. Turn off heat. Add sesame oil before serving. Serve hot.""]",thai,main,vegetarian
Pumpkin Risotto Cakes,"[""Divide Brown Rice Risotto with Pumpkin into 18 equal portions, shaping each into a 1/2-inch-thick patty. Heat 1 1/2 teaspoons oil in a large nonstick skillet over medium-high heat. Add 9 patties; cook 3 minutes. Carefully turn patties; cook 3 minutes on each side or until golden. Repeat procedure with remaining 1 1/2 teaspoons oil and patties. Garnish with basil, if desired.""]",italian,side,vegetarian
Egg Bake,"[""Brown sausage and onion together."", ""Beat eggs together."", ""Add milk, dry mustard and salt and pepper."", ""Lay 6 slices of bread in a 9 x 13-inch pan and top with slices of cheese and sausage mixture."", ""Top with remaining 6 slices of bread."", ""Pour egg mixture over all."", ""Bake at 350\u00b0 for 1 to 1 1/2 hours until eggs are done.""]",american,main,omnivorous
Steak & Mushroom Teriyaki Bowl,"[""Heat oil in 12-inch nonstick skillet over medium-high heat and cook steak, stirring occasionally, 2 minutes. Season, if desired, with salt and ground black pepper."", ""Add mushrooms and onion and cook, stirring occasionally, 3 minutes or until tender. Remove steak mixture and set aside."", ""Bring water to a boil over high heat in same skillet. Stir in Knorr(R) Asian SidesTM - Teriyaki Rice. Reduce heat to low and simmer covered 7 minutes or until rice is tender. Return steak mixture to skillet; heat through. Garnish, if desired, with chopped green onions.""]",japanese,main,omnivorous
Corn Bread Dressing With Oysters,"[""Combine first 8 ingredients in a large bowl."", ""Stir in enough broth until the mixture is very wet."", ""Pour into a greased 13 x 9 x 2-inch baking dish or shallow 3-quart baking dish."", ""Bake, uncovered, at 400\u00b0 for 45 minutes or until lightly browned. Yield:"", ""12 to 15 servings.""]",southern,side,omnivorous
Six Weeks Muffins,"[""Mix cereal, flour, sugar and soda in large bowl."", ""Add raisins, then add beaten eggs, shortening and buttermilk."", ""Mix well."", ""Store in covered bowl in refrigerator for up to 6 weeks and use when desired."", ""Bake in greased muffin tins (or paper lined) for 15 to 20 minutes at 400\u00b0.""]",american,dessert,vegetarian
Braz'S Best Sugar Cookies,"[""Combine 1 cup flour, baking soda, salt and cream of tartar"", ""in a mixing bowl and set aside."", ""Combine sugars, butter and oil; cream well."", ""Add egg and vanilla to sugar and fold in all flour. Cover and chill overnight.""]",american,dessert,omnivorous
Zucchini Buckwheat Pancakes,"[""Grate the zucchini into a mixing bowl. Stir in the finely chopped shallots, eggs, cheddar, parsley, spring onion, and garlic. Stir in the buckwheat and wholewheat flours, salt, and pepper."", ""Heat the oil in a large skillet over medium heat. Drop tablespoons of the batter into the skillet. Cook the pancakes two minutes on each side until browned. Place the pancakes on a sheet pan and keep warm in the oven. Continue to pan-fry the pancakes until all the batter is used.""]",american,main,vegetarian
